5143255.356,4258.108917,3763357.734,,,,,5143407.522,4500.404265,3762944.057
5168489.788,26153.21026,3728300.911,,,,,5168641.2,25914.19169,3727889.179
5157007.588,44108.61924,3743355.864,,,,,5157161.57,43871.88995,3742942.209
5106098.734,29302.1366,3812579.815,,,,,5106257.013,29065.67844,3812161.525
5110887.4,40979.66245,3806423.815,,,,,5111045.824,40744.67383,3806006.187
5117461.029,15064.32934,3797880.505,,,,,5117617.089,14825.56174,3797463.839
5132068.346,11077.78889,3778237.427,,,,,5132544.022,10838.51847,3778060.437
5107602.427,34176.21878,3810336.376,,,,,5107760.739,33940.18634,3809918.281
5109017.32,41616.8525,3808680.388,,,,,5109175.687,41399.12277,3808262.441
5103723.224,42118.56882,3815206.805,,,,,5103881.723,41932.05521,3814788.577
5099578.073,36861.06866,3820666.459,,,,,5099737.145,36625.82061,3820247.837
5096120.947,38858.98986,3825272.685,,,,,5096280.625,38624.09471,3824853.527
5089304.594,42495.83455,3834239.377,,,,,5089464.502,42261.47257,3833820.415
5140611.082,60600.51967,3765610.51,,,,,5140767.035,60367.19415,3765195.873
5115068.131,80114.51312,3799985.212,,,,,5115228.441,79884.00232,3799566.979
5107192.33,86144.29408,3809783.691,,,,,5107352.615,85914.57213,3809366.176
5101191.707,74779.67547,3818014.115,,,,,5101296.525,74548.06677,3817669.778
5177714.739,121409.8776,3713153.764,,,,,5177909.007,121181.7109,3712688.326
