5143255.356,4258.108917,3763357.734
5168489.788,26153.21026,3728300.911
5157007.588,44108.61924,3743355.864
5106098.734,29302.1366,3812579.815
5110887.4,40979.66245,3806423.815
5117461.029,15064.32934,3797880.505
5132068.346,11077.78889,3778237.427
5107602.427,34176.21878,3810336.376
5109017.32,41616.8525,3808680.388
5103723.224,42118.56882,3815206.805
5099578.073,36861.06866,3820666.459
5096120.947,38858.98986,3825272.685
5089304.594,42495.83455,3834239.377
5140611.082,60600.51967,3765610.51
5115068.131,80114.51312,3799985.212
5107192.33,86144.29408,3809783.691
5101191.707,74779.67547,3818014.115
5177714.739,121409.8776,3713153.764
